Tweet ID,Full Text,Preprocessed Text
1.66E+18,"Explore the benefits of account abstraction, interoperability solutions for builders.

Learn Use Cases at Epic Web3 Conference:
– L2 Scaling solutions and Decentralized Storage
– Interoperability, Security and Governance
– ZK,  Account Abstraction and  Tokenomics
Get ticket now🔥",explore benefits account abstraction interoperability solutions builders learn use cases epic web3 conference – l2 scaling solutions decentralized storage – interoperability security governance – zk account abstraction tokenomics ticket now🔥
1.65E+18,"@HPIndia VERY VERY POOR SERVICE BY HP INDIA ,in future i will not purchse any products hp and i will tell my known-Not purchse HP product",hpindia poor service hp india future purchse products hp tell knownnot purchse hp product
1.63E+18,"@HPIndia @HPSupport @EnriqueJLores @kempatel @HPIndia_MD @HP @AshwiniVaishnaw @jagograhakjago @consumerforum_ What rubbish is this. Shameless customer service. @EnriqueJLores @kempatel 

One hour call goes to auto disconnected without being connected to a",hpindia hpsupport enriquejlores kempatel hpindiamd hp ashwinivaishnaw jagograhakjago consumerforum rubbish shameless customer service enriquejlores kempatel hour goes auto disconnected connected
1.63E+18,"@consumerforum_ forum india @HP @Flipkart 

I have got damaged laptop from Flipkart. I think Flipkart sells damaged products at discounted price. Hp is not accepting the laptop damage and asking me to contact Flipkart. This is ridiculous service and didn'",consumerforum forum india hp flipkart got damaged laptop flipkart think flipkart sells damaged products discounted price hp accepting laptop damage asking contact flipkart ridiculous service didn
1.62E+18,@HPIndia @HPIndia_MD @Vikas20011973 special request to MD HP India @HPIndia_MD to kindly look into the case of this harassment to restore our trust in products of #HP,hpindia hpindiamd vikas20011973 special request md hp india hpindiamd kindly look case harassment restore trust products hp
1.66E+18,"Don't buy HP products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta call log kro customer care Bina engineer bheje bolta desktop me koi issue nhi All India se request h bhai bakwas service h
#dontbuyHP 
@HP @HPIndia @HPSupport @hp @consumer",dont buy hp products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta log kro customer care bina engineer bheje bolta desktop koi issue nhi india se request h bhai bakwas service h dontbuyhp hp hpindia hpsupport hp consumer
1.65E+18,"@HP @HPIndia @HPSupport 
It is really unfortunate and frustrating to deal with HP support, buying a HP laptop was my fault, you support does mental harassment to your customers. 
No one should by your products as they won’t get any service",hp hpindia hpsupport really unfortunate frustrating deal hp support buying hp laptop fault support does mental harassment customers products won’t service
1.62E+18,"Case Number 5097880432.
Thanks to ""HP Team"" for mentally harassing &amp; false promises. The way u have responded, trust me i'm not going to buy again any hp product &amp; will suggest my friends,family members &amp; upcoming future generation to avoid hp products. @HP @HPSupport @HPIndia https://t.co/KqZPlL8FBI",case number 5097880432 thanks hp team mentally harassing amp false promises way u responded trust im going buy hp product amp suggest friendsfamily members amp upcoming future generation avoid hp products hp hpsupport hpindia
1.61E+18,"5 Reasons Not to buy @HP @HPIndia products 2023 - 

1. Poor Hardware Quality 
2. Poor @HPSupport
3. Poor after sales in warranty Service
4. Poor Customer Care Relation
5. Scamming Customers 

#MondayMorning #Mondayblues #BeYourBestYou #scammers #laptop #NewYear",5 reasons buy hp hpindia products 2023 1 poor hardware quality 2 poor hpsupport 3 poor sales warranty service 4 poor customer care relation 5 scamming customers mondaymorning mondayblues beyourbestyou scammers laptop newyear
1.66E+18,"@ANSH06417349590 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

^HP Support",ansh06417349590 did hear closing case need assistance hp products hesitate message great day stay safe😊 hp support
1.64E+18,"Dear @EnriqueJLores  @HP
Don't pressurize your team @HPIndia to maximize the sell,
They are not capable to deliver the services for it.
The incompetent  management team is leading @HPIndia and they need proper long leave. Kindly approve their leave and stop selling ths products",dear enriquejlores hp dont pressurize team hpindia maximize sell capable deliver services incompetent management team leading hpindia need proper long leave kindly approve leave stop selling ths products
1.65E+18,"Developers are hard to reach, but not impossible! Here's everything we've learned about dev tool marketing (so far). 👇",developers hard reach impossible heres weve learned dev tool marketing far 👇
1.63E+18,"Worst support experience with @HP
So far no fix or replacement from @HPIndia.  I do not recommend HP products based on HP technical support experience. @HPIndia_MD",worst support experience hp far fix replacement hpindia recommend hp products based hp technical support experience hpindiamd
1.61E+18,@HPIndia Hope @HP @HPIndia @HPSupport had great Christmas &amp; New Year. Hope your this year new year should include not to fool customers in the name of escalation because they have nightmares &amp; *Sad Year* because of your so called quality products ,hpindia hope hp hpindia hpsupport great christmas amp new year hope year new year include fool customers escalation nightmares amp sad year called quality products
1.65E+18,"Accumulating research shows lifelong stressors degrade health and increase cancer risk, but exercise might help counteract the impact of stress.",accumulating research shows lifelong stressors degrade health increase cancer risk exercise help counteract impact stress
1.65E+18,"@HPIndia  very very worst warranty service providing by HP India now a days. Hearafter, I personally not recommend any HP products to my friends and customers.",hpindia worst warranty service providing hp india days hearafter personally recommend hp products friends customers
1.63E+18,"I bought the @HP ENVY Laptop OLED Touch 16-h0028TX in mid-Jan 2023
So far it crashes after a tech expert came on Feb 28th and replaced the motherboard. The system diagnostics test has been run more than 7-10 times for the HP support team. #hp  #worstexperiance @HPIndia @HPSupport",bought hp envy laptop oled touch 16h0028tx midjan 2023 far crashes tech expert came feb 28th replaced motherboard diagnostics test run 710 times hp support team hp worstexperiance hpindia hpsupport
1.65E+18,"@astitvam He don’t allow Apple Microsoft Hp products in India , only Karnataka brands are allowed to sell in Karnataka by that GDP will fall",astitvam don’t allow apple microsoft hp products india karnataka brands allowed sell karnataka gdp fall
1.64E+18,"@HPIndia @HP @HPSupport @HPIndia_MD @EnriqueJLores Any new fake procedures? As I said the entire internal system of HP crashed. Need to be improved and restarted. Nothing is systematic. You may hold selling products and upgrade your system. 

@jagograhakj",hpindia hp hpsupport hpindiamd enriquejlores new fake procedures said entire internal hp crashed need improved restarted systematic hold selling products upgrade jagograhakj
1.65E+18,"@HPIndia I don't Know but Services are going really Terrific and does a new Purchased Gaming laptops get blank screen, is these the Hp products are nowadays https://t.co/ebf8JXuitu",hpindia dont know services going really terrific does new purchased gaming laptops blank screen hp products nowadays
1.65E+18,"@SanDisk @Sony @HPIndia 
@tnpoliceoffl @mkstalin

There may be copy products (USB pen drive) in circulation in local mobile shop.
👆
It is difficult to identify original on leading brands.

My guess
Cover may be looking like original, but internal circu",sandisk sony hpindia tnpoliceoffl mkstalin copy products usb pen drive circulation local mobile shop 👆 difficult identify original leading brands guess cover looking like original internal circu
1.61E+18,"@YESBANK @HP
#yesrewardzprogram
Fraud reward program by Yes Bank India.
Sent a fake HP laptop bag that was damaged. Verdical solutions India Pvt Ltd was the partner as per packing.
@HPIndia @EnriqueJLores @pk63
Counterfeit products in payback rewards. 
#s",yesbank hp yesrewardzprogram fraud reward program yes bank india sent fake hp laptop bag damaged verdical solutions india pvt partner packing hpindia enriquejlores pk63 counterfeit products payback rewards s
1.65E+18,"@RajivMakhni @SamsungIndia @HPIndia @LGIndia only few products are listed under #righttorepiar
Where are other appliances? I think Govt needs to be more strict on this. Companies are registering just to get theirs names on the website. @PMOIndia @narendra",rajivmakhni samsungindia hpindia lgindia products listed righttorepiar appliances think govt needs strict companies registering just theirs names website pmoindia narendra
1.66E+18,@HPIndia we bought products from you because u are reputed company. I bought  laptop 4 months ago since then i am facing problems in system i complaint but i did not get proper solution from your support team 🤦🏻‍♂️ i have 3 years warranty . @H,hpindia bought products u reputed company bought laptop 4 months ago facing problems complaint did proper solution support team 🤦🏻‍♂️ 3 years warranty h
1.66E+18,"Effective, organic and super affordable! Get Gnome's powerful organic lawn care formulas, now at just $99/year!

✅Turns your lawn lush green in a month
✅Cheaper than professional services 
✅Dries within 4-24 hours 
✅Gets rid of weeds for good

#Gnome #Lawncare #Fertilizer",effective organic super affordable gnomes powerful organic lawn care formulas just 99year ✅turns lawn lush green month ✅cheaper professional services ✅dries 424 hours ✅gets rid weeds good gnome lawncare fertilizer
1.66E+18,"Part headset. Part glasses. All powerful. This standalone VR is portable and versatile, with the performance to handle heavy-duty graphics via PC streaming.",headset glasses powerful standalone vr portable versatile performance handle heavyduty graphics pc streaming
1.65E+18,"@HPIndia VERY VERY POOR SERVICE BY HP INDIA ,in future i will not purchse any products hp and i will tell my known-Not purchse HP product",hpindia poor service hp india future purchse products hp tell knownnot purchse hp product
1.63E+18,"@HPIndia @HPSupport @EnriqueJLores @kempatel @HPIndia_MD @HP @AshwiniVaishnaw @jagograhakjago @consumerforum_ What rubbish is this. Shameless customer service. @EnriqueJLores @kempatel 

One hour call goes to auto disconnected without being connected to a",hpindia hpsupport enriquejlores kempatel hpindiamd hp ashwinivaishnaw jagograhakjago consumerforum rubbish shameless customer service enriquejlores kempatel hour goes auto disconnected connected
1.63E+18,"@consumerforum_ forum india @HP @Flipkart 

I have got damaged laptop from Flipkart. I think Flipkart sells damaged products at discounted price. Hp is not accepting the laptop damage and asking me to contact Flipkart. This is ridiculous service and didn'",consumerforum forum india hp flipkart got damaged laptop flipkart think flipkart sells damaged products discounted price hp accepting laptop damage asking contact flipkart ridiculous service didn
1.62E+18,@HPIndia @HPIndia_MD @Vikas20011973 special request to MD HP India @HPIndia_MD to kindly look into the case of this harassment to restore our trust in products of #HP,hpindia hpindiamd vikas20011973 special request md hp india hpindiamd kindly look case harassment restore trust products hp
1.66E+18,"Don't buy HP products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta call log kro customer care Bina engineer bheje bolta desktop me koi issue nhi All India se request h bhai bakwas service h
#dontbuyHP 
@HP @HPIndia @HPSupport @hp @consumer",dont buy hp products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta log kro customer care bina engineer bheje bolta desktop koi issue nhi india se request h bhai bakwas service h dontbuyhp hp hpindia hpsupport hp consumer
1.65E+18,"@HP @HPIndia @HPSupport 
It is really unfortunate and frustrating to deal with HP support, buying a HP laptop was my fault, you support does mental harassment to your customers. 
No one should by your products as they won’t get any service",hp hpindia hpsupport really unfortunate frustrating deal hp support buying hp laptop fault support does mental harassment customers products won’t service
1.62E+18,"Case Number 5097880432.
Thanks to ""HP Team"" for mentally harassing &amp; false promises. The way u have responded, trust me i'm not going to buy again any hp product &amp; will suggest my friends,family members &amp; upcoming future generation to avoid hp products. @HP @HPSupport @HPIndia https://t.co/KqZPlL8FBI",case number 5097880432 thanks hp team mentally harassing amp false promises way u responded trust im going buy hp product amp suggest friendsfamily members amp upcoming future generation avoid hp products hp hpsupport hpindia
1.61E+18,"5 Reasons Not to buy @HP @HPIndia products 2023 - 

1. Poor Hardware Quality 
2. Poor @HPSupport
3. Poor after sales in warranty Service
4. Poor Customer Care Relation
5. Scamming Customers 

#MondayMorning #Mondayblues #BeYourBestYou #scammers #laptop #NewYear",5 reasons buy hp hpindia products 2023 1 poor hardware quality 2 poor hpsupport 3 poor sales warranty service 4 poor customer care relation 5 scamming customers mondaymorning mondayblues beyourbestyou scammers laptop newyear
1.66E+18,"@ANSH06417349590 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

^HP Support",ansh06417349590 did hear closing case need assistance hp products hesitate message great day stay safe😊 hp support
1.64E+18,"Dear @EnriqueJLores  @HP
Don't pressurize your team @HPIndia to maximize the sell,
They are not capable to deliver the services for it.
The incompetent  management team is leading @HPIndia and they need proper long leave. Kindly approve their leave and stop selling ths products",dear enriquejlores hp dont pressurize team hpindia maximize sell capable deliver services incompetent management team leading hpindia need proper long leave kindly approve leave stop selling ths products
1.63E+18,"Worst support experience with @HP
So far no fix or replacement from @HPIndia.  I do not recommend HP products based on HP technical support experience. @HPIndia_MD",worst support experience hp far fix replacement hpindia recommend hp products based hp technical support experience hpindiamd
1.61E+18,@HPIndia Hope @HP @HPIndia @HPSupport had great Christmas &amp; New Year. Hope your this year new year should include not to fool customers in the name of escalation because they have nightmares &amp; *Sad Year* because of your so called quality products ,hpindia hope hp hpindia hpsupport great christmas amp new year hope year new year include fool customers escalation nightmares amp sad year called quality products
1.65E+18,"Accumulating research shows lifelong stressors degrade health and increase cancer risk, but exercise might help counteract the impact of stress.",accumulating research shows lifelong stressors degrade health increase cancer risk exercise help counteract impact stress
1.65E+18,"@HPIndia  very very worst warranty service providing by HP India now a days. Hearafter, I personally not recommend any HP products to my friends and customers.",hpindia worst warranty service providing hp india days hearafter personally recommend hp products friends customers
1.63E+18,"I bought the @HP ENVY Laptop OLED Touch 16-h0028TX in mid-Jan 2023
So far it crashes after a tech expert came on Feb 28th and replaced the motherboard. The system diagnostics test has been run more than 7-10 times for the HP support team. #hp  #worstexperiance @HPIndia @HPSupport",bought hp envy laptop oled touch 16h0028tx midjan 2023 far crashes tech expert came feb 28th replaced motherboard diagnostics test run 710 times hp support team hp worstexperiance hpindia hpsupport
1.65E+18,"@astitvam He don’t allow Apple Microsoft Hp products in India , only Karnataka brands are allowed to sell in Karnataka by that GDP will fall",astitvam don’t allow apple microsoft hp products india karnataka brands allowed sell karnataka gdp fall
1.64E+18,"@HPIndia @HP @HPSupport @HPIndia_MD @EnriqueJLores Any new fake procedures? As I said the entire internal system of HP crashed. Need to be improved and restarted. Nothing is systematic. You may hold selling products and upgrade your system. 

@jagograhakj",hpindia hp hpsupport hpindiamd enriquejlores new fake procedures said entire internal hp crashed need improved restarted systematic hold selling products upgrade jagograhakj
1.65E+18,"@HPIndia I don't Know but Services are going really Terrific and does a new Purchased Gaming laptops get blank screen, is these the Hp products are nowadays https://t.co/ebf8JXuitu",hpindia dont know services going really terrific does new purchased gaming laptops blank screen hp products nowadays
1.65E+18,"@SanDisk @Sony @HPIndia 
@tnpoliceoffl @mkstalin

There may be copy products (USB pen drive) in circulation in local mobile shop.
👆
It is difficult to identify original on leading brands.

My guess
Cover may be looking like original, but internal circu",sandisk sony hpindia tnpoliceoffl mkstalin copy products usb pen drive circulation local mobile shop 👆 difficult identify original leading brands guess cover looking like original internal circu
1.61E+18,"@YESBANK @HP
#yesrewardzprogram
Fraud reward program by Yes Bank India.
Sent a fake HP laptop bag that was damaged. Verdical solutions India Pvt Ltd was the partner as per packing.
@HPIndia @EnriqueJLores @pk63
Counterfeit products in payback rewards. 
#s",yesbank hp yesrewardzprogram fraud reward program yes bank india sent fake hp laptop bag damaged verdical solutions india pvt partner packing hpindia enriquejlores pk63 counterfeit products payback rewards s
1.65E+18,"@RajivMakhni @SamsungIndia @HPIndia @LGIndia only few products are listed under #righttorepiar
Where are other appliances? I think Govt needs to be more strict on this. Companies are registering just to get theirs names on the website. @PMOIndia @narendra",rajivmakhni samsungindia hpindia lgindia products listed righttorepiar appliances think govt needs strict companies registering just theirs names website pmoindia narendra
1.66E+18,@HPIndia we bought products from you because u are reputed company. I bought  laptop 4 months ago since then i am facing problems in system i complaint but i did not get proper solution from your support team 🤦🏻‍♂️ i have 3 years warranty . @H,hpindia bought products u reputed company bought laptop 4 months ago facing problems complaint did proper solution support team 🤦🏻‍♂️ 3 years warranty h
1.66E+18,"Part headset. Part glasses. All powerful. This standalone VR is portable and versatile, with the performance to handle heavy-duty graphics via PC streaming.",headset glasses powerful standalone vr portable versatile performance handle heavyduty graphics pc streaming
1.65E+18,"@HPIndia VERY VERY POOR SERVICE BY HP INDIA ,in future i will not purchse any products hp and i will tell my known-Not purchse HP product",hpindia poor service hp india future purchse products hp tell knownnot purchse hp product
1.63E+18,"@HPIndia @HPSupport @EnriqueJLores @kempatel @HPIndia_MD @HP @AshwiniVaishnaw @jagograhakjago @consumerforum_ What rubbish is this. Shameless customer service. @EnriqueJLores @kempatel 

One hour call goes to auto disconnected without being connected to a",hpindia hpsupport enriquejlores kempatel hpindiamd hp ashwinivaishnaw jagograhakjago consumerforum rubbish shameless customer service enriquejlores kempatel hour goes auto disconnected connected
1.63E+18,"@consumerforum_ forum india @HP @Flipkart 

I have got damaged laptop from Flipkart. I think Flipkart sells damaged products at discounted price. Hp is not accepting the laptop damage and asking me to contact Flipkart. This is ridiculous service and didn'",consumerforum forum india hp flipkart got damaged laptop flipkart think flipkart sells damaged products discounted price hp accepting laptop damage asking contact flipkart ridiculous service didn
1.62E+18,@HPIndia @HPIndia_MD @Vikas20011973 special request to MD HP India @HPIndia_MD to kindly look into the case of this harassment to restore our trust in products of #HP,hpindia hpindiamd vikas20011973 special request md hp india hpindiamd kindly look case harassment restore trust products hp
1.66E+18,"Don't buy HP products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta call log kro customer care Bina engineer bheje bolta desktop me koi issue nhi All India se request h bhai bakwas service h
#dontbuyHP 
@HP @HPIndia @HPSupport @hp @consumer",dont buy hp products desktop ki warranty krwane ke liye 1 year se pareshan hoo service center kahta log kro customer care bina engineer bheje bolta desktop koi issue nhi india se request h bhai bakwas service h dontbuyhp hp hpindia hpsupport hp consumer
1.65E+18,"@HP @HPIndia @HPSupport 
It is really unfortunate and frustrating to deal with HP support, buying a HP laptop was my fault, you support does mental harassment to your customers. 
No one should by your products as they won’t get any service",hp hpindia hpsupport really unfortunate frustrating deal hp support buying hp laptop fault support does mental harassment customers products won’t service
1.62E+18,"Case Number 5097880432.
Thanks to ""HP Team"" for mentally harassing &amp; false promises. The way u have responded, trust me i'm not going to buy again any hp product &amp; will suggest my friends,family members &amp; upcoming future generation to avoid hp products. @HP @HPSupport @HPIndia https://t.co/KqZPlL8FBI",case number 5097880432 thanks hp team mentally harassing amp false promises way u responded trust im going buy hp product amp suggest friendsfamily members amp upcoming future generation avoid hp products hp hpsupport hpindia
1.61E+18,"5 Reasons Not to buy @HP @HPIndia products 2023 - 

1. Poor Hardware Quality 
2. Poor @HPSupport
3. Poor after sales in warranty Service
4. Poor Customer Care Relation
5. Scamming Customers 

#MondayMorning #Mondayblues #BeYourBestYou #scammers #laptop #NewYear",5 reasons buy hp hpindia products 2023 1 poor hardware quality 2 poor hpsupport 3 poor sales warranty service 4 poor customer care relation 5 scamming customers mondaymorning mondayblues beyourbestyou scammers laptop newyear
1.66E+18,"@ANSH06417349590 Since I did not hear back from you I will be closing this case for now. If you need any assistance with HP products please do not hesitate to message us!

Have a great day and stay safe.😊

^HP Support",ansh06417349590 did hear closing case need assistance hp products hesitate message great day stay safe😊 hp support
1.65E+18,"Experience gaming like never before with Skytech's expertly built PCs, backed by a 1-year warranty and lifetime support! 

Visit https://t.co/rgYDKXLPT1",experience gaming like skytechs expertly built pcs backed 1year warranty lifetime support visit
1.64E+18,"Dear @EnriqueJLores  @HP
Don't pressurize your team @HPIndia to maximize the sell,
They are not capable to deliver the services for it.
The incompetent  management team is leading @HPIndia and they need proper long leave. Kindly approve their leave and stop selling ths products",dear enriquejlores hp dont pressurize team hpindia maximize sell capable deliver services incompetent management team leading hpindia need proper long leave kindly approve leave stop selling ths products
1.63E+18,"Worst support experience with @HP
So far no fix or replacement from @HPIndia.  I do not recommend HP products based on HP technical support experience. @HPIndia_MD",worst support experience hp far fix replacement hpindia recommend hp products based hp technical support experience hpindiamd
1.61E+18,@HPIndia Hope @HP @HPIndia @HPSupport had great Christmas &amp; New Year. Hope your this year new year should include not to fool customers in the name of escalation because they have nightmares &amp; *Sad Year* because of your so called quality products ,hpindia hope hp hpindia hpsupport great christmas amp new year hope year new year include fool customers escalation nightmares amp sad year called quality products
1.62E+18,"@HPSupport @HPSupport @RelianceDigital I need to go to Consumer Court , I need Local Contact person from HP India how can attend the same. It is very grave that HP has been selling so many products and does not mention any Mail ID or contact person respon",hpsupport hpsupport reliancedigital need consumer court need local contact person hp india attend grave hp selling products does mention mail id contact person respon
1.65E+18,"@HPIndia  very very worst warranty service providing by HP India now a days. Hearafter, I personally not recommend any HP products to my friends and customers.",hpindia worst warranty service providing hp india days hearafter personally recommend hp products friends customers
1.63E+18,"I bought the @HP ENVY Laptop OLED Touch 16-h0028TX in mid-Jan 2023
So far it crashes after a tech expert came on Feb 28th and replaced the motherboard. The system diagnostics test has been run more than 7-10 times for the HP support team. #hp  #worstexperiance @HPIndia @HPSupport",bought hp envy laptop oled touch 16h0028tx midjan 2023 far crashes tech expert came feb 28th replaced motherboard diagnostics test run 710 times hp support team hp worstexperiance hpindia hpsupport
1.65E+18,"@astitvam He don’t allow Apple Microsoft Hp products in India , only Karnataka brands are allowed to sell in Karnataka by that GDP will fall",astitvam don’t allow apple microsoft hp products india karnataka brands allowed sell karnataka gdp fall
1.66E+18,"McKinsey Product Academy offers real and actionable insights from product leaders. Register by June 2 to learn how GenAI, sustainability, inclusive design, and more are revolutionizing Product Management.",mckinsey product academy offers real actionable insights product leaders register june 2 learn genai sustainability inclusive design revolutionizing product management
1.64E+18,"@HPIndia @HP @HPSupport @HPIndia_MD @EnriqueJLores Any new fake procedures? As I said the entire internal system of HP crashed. Need to be improved and restarted. Nothing is systematic. You may hold selling products and upgrade your system. 

@jagograhakj",hpindia hp hpsupport hpindiamd enriquejlores new fake procedures said entire internal hp crashed need improved restarted systematic hold selling products upgrade jagograhakj
1.65E+18,"@HPIndia registered a complaint thru ur call center, got quotation from Silicon ur service partner, paid upfront, inexperienced engineer visit 4th day post payment n also him saying 3545 discontinued, 5th day still waiting for sr. engineer.",hpindia registered complaint ur center got quotation silicon ur service partner paid upfront inexperienced engineer visit 4th day post payment n saying 3545 discontinued 5th day waiting sr engineer
1.65E+18,"@SanDisk @Sony @HPIndia 
@tnpoliceoffl @mkstalin

There may be copy products (USB pen drive) in circulation in local mobile shop.
👆
It is difficult to identify original on leading brands.

My guess
Cover may be looking like original, but internal circu",sandisk sony hpindia tnpoliceoffl mkstalin copy products usb pen drive circulation local mobile shop 👆 difficult identify original leading brands guess cover looking like original internal circu
1.61E+18,"@Manmohankher @HPIndia_MD Hi Manmohan, HP take your privacy very seriously and for your protection we ask you to send us a DM with serial number of the unit, I'll look into this and assist you further. 
https://t.co/9tDEsoastI
Please click the below link ",manmohankher hpindiamd hi manmohan hp privacy seriously protection ask send dm serial number unit ill look assist click link
1.65E+18,@HPIndia ridiculous service n ridiculous HP products. India look for alternatives than buying HP coz their post sales service is even worst than their products.,hpindia ridiculous service n ridiculous hp products india look alternatives buying hp coz post sales service worst products
1.61E+18,"@YESBANK @HP
#yesrewardzprogram
Fraud reward program by Yes Bank India.
Sent a fake HP laptop bag that was damaged. Verdical solutions India Pvt Ltd was the partner as per packing.
@HPIndia @EnriqueJLores @pk63
Counterfeit products in payback rewards. 
#s",yesbank hp yesrewardzprogram fraud reward program yes bank india sent fake hp laptop bag damaged verdical solutions india pvt partner packing hpindia enriquejlores pk63 counterfeit products payback rewards s
1.65E+18,"@RajivMakhni @SamsungIndia @HPIndia @LGIndia only few products are listed under #righttorepiar
Where are other appliances? I think Govt needs to be more strict on this. Companies are registering just to get theirs names on the website. @PMOIndia @narendra",rajivmakhni samsungindia hpindia lgindia products listed righttorepiar appliances think govt needs strict companies registering just theirs names website pmoindia narendra
1.66E+18,"Top reasons why to attend Work Transformation Summit EMEA on May 25:
🌐 Hear about responsible AI and the implications for human connection
🚀 Master AI integration in the customer journey
⚖️ Balance automation and ethics when rolling out AI automation in an organisation",reasons attend work transformation summit emea 25 🌐 hear responsible ai implications human connection 🚀 master ai integration customer journey ⚖️ balance automation ethics rolling ai automation organisation
1.62E+18,"@HPIndia  is it safe to use your products? Because I am facing this dangerous things from last 2weeks but no response provided. Company must focus on consumer safety. @jagograhakjago
@HPSupport @HP @BandBajaateRaho https://t.co/pqtr7gnhcr",hpindia safe use products facing dangerous things 2weeks response provided company focus consumer safety jagograhakjago hpsupport hp bandbajaateraho
1.65E+18,Ga automatisch voor veel GB’s delen en blijf ondernemen met KPN Zakelijk Unlimited.,ga automatisch voor veel gb’s delen en blijf ondernemen met kpn zakelijk unlimited
1.65E+18,"@HPIndia VERY VERY POOR SERVICE BY HP INDIA ,in future i will not purchse any products hp and i will tell my known-Not purchse HP product",hpindia poor service hp india future purchse products hp tell knownnot purchse hp product
1.63E+18,"@HPIndia @HPSupport @EnriqueJLores @kempatel @HPIndia_MD @HP @AshwiniVaishnaw @jagograhakjago @consumerforum_ What rubbish is this. Shameless customer service. @EnriqueJLores @kempatel 

One hour call goes to auto disconnected without being connected to a",hpindia hpsupport enriquejlores kempatel hpindiamd hp ashwinivaishnaw jagograhakjago consumerforum rubbish shameless customer service enriquejlores kempatel hour goes auto disconnected connected
1.63E+18,"@consumerforum_ forum india @HP @Flipkart 

I have got damaged laptop from Flipkart. I think Flipkart sells damaged products at discounted price. Hp is not accepting the laptop damage and asking me to contact Flipkart. This is ridiculous service and didn'",consumerforum forum india hp flipkart got damaged laptop flipkart think flipkart sells damaged products discounted price hp accepting laptop damage asking contact flipkart ridiculous service didn
